edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_000768ca3de1bb367b21,kg_datasetrecord_dr_3a29f258810f032620b0,has_repeat_unit,kg_repeatunit_ru_f3c0fa77eb787e1d0f1a,1.0,[],{},strict,true
edge_0011fc2f3eb05d007d05,kg_repeatunit_ru_bae2618fafc1de0e70cf,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00139741b43103698f05,kg_datasetrecord_dr_2422717e250f15377ce4,has_repeat_unit,kg_repeatunit_ru_11154c3f97f850939cb9,1.0,[],{},strict,true
edge_00188b02a741e2b2c0f9,kg_datasetrecord_dr_1e0046fb55b04fd70ea2,has_repeat_unit,kg_repeatunit_ru_2b93468f91c0c6fb32be,1.0,[],{},strict,true
edge_001e8155c3889297dc25,kg_datasetrecord_dr_15dee138139bc1177554,has_repeat_unit,kg_repeatunit_ru_10860166060c2efee788,1.0,[],{},strict,true
edge_0020bd82c65580fc122d,kg_datasetrecord_dr_95dec7120905609148fe,has_repeat_unit,kg_repeatunit_ru_f2cf3195c89eaa722ecc,1.0,[],{},strict,true
edge_0021d27f6fe680dd7ece,kg_datasetrecord_dr_38a0f710728a688bf928,has_repeat_unit,kg_repeatunit_ru_c5418414c775314b4345,1.0,[],{},strict,true
edge_002518735910047dc2a6,kg_datasetrecord_dr_fd6120e3bb0384d66285,has_repeat_unit,kg_repeatunit_ru_26493d11175dc21c67d5,1.0,[],{},strict,true
edge_0026b71dd2dd8ce34971,kg_datasetrecord_dr_d0e3f8825824c2f84939,has_repeat_unit,kg_repeatunit_ru_d550ef2d6ea98621c209,1.0,[],{},strict,true
edge_002a93942aa147dd8eac,kg_datasetrecord_dr_dc0365716ddbf49fe6fc,has_repeat_unit,kg_repeatunit_ru_95bb343036c473aecb33,1.0,[],{},strict,true
edge_002b6f1c5be1bd812073,kg_datasetrecord_dr_408908fba75080a7c478,has_repeat_unit,kg_repeatunit_ru_7105458eecf33f895da8,1.0,[],{},strict,true
edge_002e4805541272285a9a,kg_datasetrecord_dr_0f3ec4675f1382d3f5aa,has_repeat_unit,kg_repeatunit_ru_dec6182453177e4ddd0a,1.0,[],{},strict,true
edge_00348ee87f970f0f8c71,kg_datasetrecord_dr_26b0204f8fd73c7d85d7,has_repeat_unit,kg_repeatunit_ru_1a66882040753b1dc75a,1.0,[],{},strict,true
edge_00357320ab7e5c041aed,kg_repeatunit_ru_ba3042497614893488a3,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0035a6dc467e38c48cfa,kg_datasetrecord_dr_112be91ea7abde927109,has_repeat_unit,kg_repeatunit_ru_157751257c73127e2117,1.0,[],{},strict,true
edge_003832774ad7988e7414,kg_datasetrecord_dr_00b624b44b8e38e5711a,has_repeat_unit,kg_repeatunit_ru_5538cada39f161bc4f29,1.0,[],{},strict,true
edge_003d724ac702ecd3f051,kg_datasetrecord_dr_5a6278e87c6c1ad9f1fa,has_repeat_unit,kg_repeatunit_ru_dac9099f4933272f625e,1.0,[],{},strict,true
edge_003fc30803c19e17076b,kg_datasetrecord_dr_7cd12a453210c79bfbcb,has_repeat_unit,kg_repeatunit_ru_c0557bcdd600cd46009e,1.0,[],{},strict,true
edge_0053020e10168abc94c2,kg_repeatunit_ru_8f04c1eda95cb5cc9727,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00531df2193f7f88c321,kg_datasetrecord_dr_e9308f6a1308f5102ed2,has_repeat_unit,kg_repeatunit_ru_d6fbfa6bacbdaf4a3b1d,1.0,[],{},strict,true
edge_005522adc37cfb9b6bd8,kg_repeatunit_ru_237e14d1894d542283cb,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_005ca3035f37e8d5c4ba,kg_repeatunit_ru_c7a8c55decd6b6dcf802,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0060a6fd4e95d8e6f3db,kg_repeatunit_ru_8eae8dc0b106779bc2b4,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0061cd6c1950bfc1a81b,kg_repeatunit_ru_5b2532baeab58d9a1110,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0064dbeb0043406ce4e0,kg_datasetrecord_dr_e390c7041ce31e6f0d87,has_repeat_unit,kg_repeatunit_ru_9e85dfd41b9b9599ee41,1.0,[],{},strict,true
edge_0073318e9101b5e442a6,kg_datasetrecord_dr_5a12066a991d43aa4d26,has_repeat_unit,kg_repeatunit_ru_1646ff59a19c31f6e666,1.0,[],{},strict,true
edge_00734f6d859b757f59d7,kg_repeatunit_ru_de68f3f13967991ee822,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_007ae18206dc94648f45,kg_repeatunit_ru_c27c3a0b67a3363b3f52,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_007c9f1242e3f3a7c17d,kg_datasetrecord_dr_bb25c1733b33e7081438,has_repeat_unit,kg_repeatunit_ru_5d891d4d9b54a7a44be5,1.0,[],{},strict,true
edge_007d8c09b64ca2d8a264,kg_repeatunit_ru_0903da59de9211dfef54,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00856d6b95a2cbb13f9b,kg_datasetrecord_dr_61f519a54b8955ec2518,has_repeat_unit,kg_repeatunit_ru_84f4ca10ddc299e98110,1.0,[],{},strict,true
edge_0086fce566baede9444f,kg_datasetrecord_dr_d5f705c3be964c50e6b0,has_repeat_unit,kg_repeatunit_ru_e7b50c5afa741fd3605c,1.0,[],{},strict,true
edge_008f20ede5c4a9019461,kg_repeatunit_ru_8345ac8164fa1f1e598c,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_008fad6d4f5c7a4fe84c,kg_repeatunit_ru_4c6a532f3b1b79666078,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00914d26f590785a64a6,kg_datasetrecord_dr_1dc8721ceb1a8f5eff46,has_repeat_unit,kg_repeatunit_ru_520cd24ad51077cc93a5,1.0,[],{},strict,true
edge_0094081eb75a45ff2be0,kg_datasetrecord_dr_711854c5521c6cdbcad0,has_repeat_unit,kg_repeatunit_ru_c96f5c3b4ae3441b46bd,1.0,[],{},strict,true
edge_0096802c6c35ca19136f,kg_datasetrecord_dr_acb191023aa081a91359,has_repeat_unit,kg_repeatunit_ru_a106256e2b063a26c200,1.0,[],{},strict,true
edge_009dc35a368cbbfaa0a9,kg_datasetrecord_dr_2b37b5ef616068dc1863,has_repeat_unit,kg_repeatunit_ru_ce09e56047111c627e04,1.0,[],{},strict,true
edge_009e679b7d7fccabc1e8,kg_datasetrecord_dr_1d6afffac4dea605e88b,has_repeat_unit,kg_repeatunit_ru_006cef6858942f862cb5,1.0,[],{},strict,true
edge_00a0908a89a76b5a3c84,kg_datasetrecord_dr_37d6132019b802102154,has_repeat_unit,kg_repeatunit_ru_bd45cb9ce368bf879a60,1.0,[],{},strict,true
edge_00a48c3ac18271c46791,kg_datasetrecord_dr_aea58ea18c953707ad24,has_repeat_unit,kg_repeatunit_ru_6b71d69e8c95d275eaba,1.0,[],{},strict,true
edge_00a4dc31d34d7fb12c45,kg_datasetrecord_dr_64028b0762920cf16228,has_repeat_unit,kg_repeatunit_ru_aaaa00824e54ef6e51d0,1.0,[],{},strict,true
edge_00bb5e83b310d7d17af1,kg_datasetrecord_dr_9e4c1de198b96c6a0e5a,has_repeat_unit,kg_repeatunit_ru_05d781c394cdcafbec69,1.0,[],{},strict,true
edge_00bc4581bcc6def61f88,kg_datasetrecord_dr_48b77ac9b250f1937a7c,has_repeat_unit,kg_repeatunit_ru_f0ed85f4352371855e68,1.0,[],{},strict,true
edge_00bd2e0ded39b04fffc5,kg_datasetrecord_dr_70549eaee0cfa1b95d96,has_repeat_unit,kg_repeatunit_ru_10eda3e8742393c0cd79,1.0,[],{},strict,true
edge_00be15faf560a7bec832,kg_datasetrecord_dr_39d056c9e78e08367000,has_repeat_unit,kg_repeatunit_ru_887bdf9684e1700b47d2,1.0,[],{},strict,true
edge_00c31e6e0e04e67ee91e,kg_datasetrecord_dr_73406dd2b3833214fab1,has_repeat_unit,kg_repeatunit_ru_21ffeee62b27294a68da,1.0,[],{},strict,true
edge_00c7f6548d3f21cf32ee,kg_datasetrecord_dr_45d58784b2056e0be4d7,has_repeat_unit,kg_repeatunit_ru_4774f8e0040f1260f9c6,1.0,[],{},strict,true
edge_00caebf2e9dd10902221,kg_datasetrecord_dr_606ccf1978a8f40eb6fb,has_repeat_unit,kg_repeatunit_ru_09131a7fa2eb2b4ae225,1.0,[],{},strict,true
edge_00d0c0564968917b42b7,kg_datasetrecord_dr_bc734599daaa40786753,has_repeat_unit,kg_repeatunit_ru_9079c51335c86b0f666e,1.0,[],{},strict,true
edge_00d570fb10bc4c073a8f,kg_datasetrecord_dr_ff1a962555e8932f304d,has_repeat_unit,kg_repeatunit_ru_80dcd6fa535075fcc501,1.0,[],{},strict,true
edge_00df2d275032a9fd21d7,kg_datasetrecord_dr_15b1682092cd382851db,has_repeat_unit,kg_repeatunit_ru_07a7f341eafe485df7c1,1.0,[],{},strict,true
edge_00e277a355d1b0e3f046,kg_repeatunit_ru_1e6fb2df38943ae99f66,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00e2da099cbd0557b852,kg_datasetrecord_dr_ce174eb52d6884a8de48,has_repeat_unit,kg_repeatunit_ru_e7273a295e921e78b23c,1.0,[],{},strict,true
edge_00ea451e426b39e2eb3e,kg_datasetrecord_dr_6297066a146a0bc49069,has_repeat_unit,kg_repeatunit_ru_59e258a8dabf16d57cd0,1.0,[],{},strict,true
edge_00ee6e607a1f80d92c1b,kg_repeatunit_ru_50c3c8eac89f3d810b56,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00ef4511520ff7221c70,kg_datasetrecord_dr_3a644aefab32a6ad3a2f,has_repeat_unit,kg_repeatunit_ru_e30f08180e5e9866ccb6,1.0,[],{},strict,true
edge_00effe6bf78586947d5d,kg_repeatunit_ru_c356240faf0263445c64,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_00ffad5564474cce5fc8,kg_datasetrecord_dr_4657d5e42fb1441c8a7f,has_repeat_unit,kg_repeatunit_ru_5667c61a805edbad0c43,1.0,[],{},strict,true
edge_0104b5a391eada627373,kg_datasetrecord_dr_6752efe1886f291312cd,has_repeat_unit,kg_repeatunit_ru_ac58bb6f37c6dbce7aa9,1.0,[],{},strict,true
edge_0104fa6ca5c7bd755963,kg_datasetrecord_dr_a55fd4d00275aaf4b11d,has_repeat_unit,kg_repeatunit_ru_b7724c5d60b117b3348b,1.0,[],{},strict,true
edge_0107be540ae044e3774c,kg_repeatunit_ru_7eb6437fececf3bf80f4,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_010a185143f3f345dfea,kg_datasetrecord_dr_fbdce7e9602641f4f954,has_repeat_unit,kg_repeatunit_ru_89014e35a5d708b9a77b,1.0,[],{},strict,true
edge_011035ce2329ffbbc82e,kg_datasetrecord_dr_c52d091abdf4ac7b73b0,has_repeat_unit,kg_repeatunit_ru_82a1edd82791d6616eeb,1.0,[],{},strict,true
edge_01105d7942e1bb0289a7,kg_repeatunit_ru_d6dab9c2ece6c35bf9ab,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0114fb29eec85e790118,kg_datasetrecord_dr_b4bd4d008bad0a495507,has_repeat_unit,kg_repeatunit_ru_3ca6e4e4781124bc240d,1.0,[],{},strict,true
edge_01153f4411d4492850f1,kg_repeatunit_ru_a2aeb477eb23104aa9a2,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_011600c14cd1dc595fb0,kg_datasetrecord_dr_7c84c9e9f3112fd51ee2,has_repeat_unit,kg_repeatunit_ru_9b72df5a95a58a7a0c31,1.0,[],{},strict,true
edge_011ab865676110ee607d,kg_datasetrecord_dr_e1fa6794a644046177fc,has_repeat_unit,kg_repeatunit_ru_ca644717749be64ae063,1.0,[],{},strict,true
edge_011d69284893002d29f7,kg_repeatunit_ru_38528ec8302e76c01cd4,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_011e1b4850c9f9545ba5,kg_repeatunit_ru_c310bf102a78e1bf672c,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_011e6edb6a3752bf6ab1,kg_datasetrecord_dr_fa77617c0dc7390df582,has_repeat_unit,kg_repeatunit_ru_76708dce4a285100a359,1.0,[],{},strict,true
edge_0128f1cd69a2c589e346,kg_datasetrecord_dr_5548dc412aed173039ae,has_repeat_unit,kg_repeatunit_ru_b405fc3fc2b9e29d69d2,1.0,[],{},strict,true
edge_0129223ff9f2d5ffaae2,kg_datasetrecord_dr_083375063ac38ff0769b,has_repeat_unit,kg_repeatunit_ru_114bc81f8c948232ac9b,1.0,[],{},strict,true
edge_012e710f5225c1cc459e,kg_repeatunit_ru_e93400635f21ded501a4,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01378b5f62dc9b6dc8b9,kg_datasetrecord_dr_4d31134df1b3e6a3bf29,has_repeat_unit,kg_repeatunit_ru_8e39923560b13e61c743,1.0,[],{},strict,true
edge_013b00d4e9c871accfae,kg_repeatunit_ru_6989092a04419a4a77ba,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_013df781366cb746086e,kg_datasetrecord_dr_66f0ba62644cc4dbf41e,has_repeat_unit,kg_repeatunit_ru_a77060c97a1539f874b9,1.0,[],{},strict,true
edge_013e0b861f4e1e5605df,kg_datasetrecord_dr_179f392bdd8878c6dae6,has_repeat_unit,kg_repeatunit_ru_e412460b0eac72961714,1.0,[],{},strict,true
edge_013e85fba95901e147fc,kg_datasetrecord_dr_512411c8626fdb040c38,has_repeat_unit,kg_repeatunit_ru_20fbbab2bc07ff5c1112,1.0,[],{},strict,true
edge_01418389e01c89fc350f,kg_repeatunit_ru_83aa6d79c47880f9a258,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0145b890c301481c7dc9,kg_datasetrecord_dr_337cfe2fb20f2885aa76,has_repeat_unit,kg_repeatunit_ru_84b0014d43d3f43b81b1,1.0,[],{},strict,true
edge_0146b8cc2001f85ce2f9,kg_datasetrecord_dr_531ad787cd28561dda2d,has_repeat_unit,kg_repeatunit_ru_af265d369825a6f882f8,1.0,[],{},strict,true
edge_0149418362a5c872bf05,kg_datasetrecord_dr_61df582edb84922fcdb7,has_repeat_unit,kg_repeatunit_ru_752b290134f7519df3fa,1.0,[],{},strict,true
edge_0155116c22d85f329989,kg_datasetrecord_dr_6cb0b37d117dfc9c9295,has_repeat_unit,kg_repeatunit_ru_3ddf52c494327d1562a6,1.0,[],{},strict,true
edge_015710489c2561d12322,kg_datasetrecord_dr_19dffa2d1ca471bb85e5,has_repeat_unit,kg_repeatunit_ru_7f9ba483f4a033dfcd54,1.0,[],{},strict,true
edge_015c07ae79cf36facb46,kg_repeatunit_ru_03e0ea295df88ea64441,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01686b89e3d9959514f9,kg_datasetrecord_dr_4a67417ac6ef95619e7b,has_repeat_unit,kg_repeatunit_ru_6d9a5325a2dd5a652900,1.0,[],{},strict,true
edge_016e801276bd718db761,kg_datasetrecord_dr_ddccde36c7fa72fd5117,has_repeat_unit,kg_repeatunit_ru_d8ed7c00192f6f5703dd,1.0,[],{},strict,true
edge_0173b4d335e93fa9397f,kg_repeatunit_ru_dc5762bac0f833bfe6e1,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0174d645fd79e8a71424,kg_datasetrecord_dr_915bfb01aae05b5c336b,has_repeat_unit,kg_repeatunit_ru_b60a749ae3e49bd573f0,1.0,[],{},strict,true
edge_01761117538d7f32b82d,kg_repeatunit_ru_685b9c63e8f72a84554e,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01793763c0676d9e08e4,kg_datasetrecord_dr_99095726e9f0a5880b5b,has_repeat_unit,kg_repeatunit_ru_eef87a704f2145c583f0,1.0,[],{},strict,true
edge_017fe6bcdc4e714a6350,kg_datasetrecord_dr_a92df6d921323fb1e4a8,has_repeat_unit,kg_repeatunit_ru_8ecfcf784a10ee95e9d4,1.0,[],{},strict,true
edge_0184d99e6e8aa9218c29,kg_datasetrecord_dr_f3f2282c2110f2e996bc,has_repeat_unit,kg_repeatunit_ru_b7cb5ee6f0e7279e36ca,1.0,[],{},strict,true
edge_0185fdd621db6e77f3a1,kg_datasetrecord_dr_fa0723f3e65c00fc3030,has_repeat_unit,kg_repeatunit_ru_e7f708cd13fcb088fe85,1.0,[],{},strict,true
edge_0186a65bea01b51ed95f,kg_repeatunit_ru_3187ea40953f0b4ef578,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01952dee40ab2af91168,kg_repeatunit_ru_17274c9cf0eecf8adcbf,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0196ccf365476a30c3fe,kg_repeatunit_ru_59422dd923fc00d79f12,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_019827d67722707779b0,kg_repeatunit_ru_d3fa692b2fd4ec29d683,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_019857e8e8fbbd8d12de,kg_datasetrecord_dr_16de8703ae14d54688c0,has_repeat_unit,kg_repeatunit_ru_e7213b96e81fbb4efc36,1.0,[],{},strict,true
edge_01a1e0e81b55cf98ec84,kg_datasetrecord_dr_4a35f666c9aeb49f05c2,has_repeat_unit,kg_repeatunit_ru_5f6160dce84c6361e426,1.0,[],{},strict,true
edge_01a39f40e9a0e62691b1,kg_repeatunit_ru_4019806aeb26e80d7058,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01a65170ad99394895a0,kg_repeatunit_ru_5e6273cfd6a240b4bf1d,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01aa6ca484a4f4a7fae0,kg_datasetrecord_dr_1df19406841dff8a8063,has_repeat_unit,kg_repeatunit_ru_2508ffb98ab633b711a2,1.0,[],{},strict,true
edge_01b21c39c445034c3a4d,kg_datasetrecord_dr_4bd5c19f3a0b1cf46e09,has_repeat_unit,kg_repeatunit_ru_9ba22cd6697d61aaadd2,1.0,[],{},strict,true
edge_01b7beeca74e4ac62573,kg_datasetrecord_dr_d7ef3fb265d4627e05bf,has_repeat_unit,kg_repeatunit_ru_d45ae4b0ab8921a4cdf6,1.0,[],{},strict,true
edge_01b860d93f93abb72a62,kg_datasetrecord_dr_6bc861f3a0f44dadcee7,has_repeat_unit,kg_repeatunit_ru_c8a4d97dcbc83ce07731,1.0,[],{},strict,true
edge_01bb932bc356e0033cce,kg_datasetrecord_dr_8e94803095a13bc2e871,has_repeat_unit,kg_repeatunit_ru_328cb417ce5e15c96ae1,1.0,[],{},strict,true
edge_01be8b79a8aa97f86803,kg_datasetrecord_dr_2dcfa25aea5982a0b7a6,has_repeat_unit,kg_repeatunit_ru_073aa5922740564bcd86,1.0,[],{},strict,true
edge_01bf2e856b9164079c43,kg_datasetrecord_dr_26bb0761cbe5741b62c8,has_repeat_unit,kg_repeatunit_ru_d02d9287cf12655e6d83,1.0,[],{},strict,true
edge_01c2068fdc56ddfbe69e,kg_datasetrecord_dr_2b6dff2f2c86a8027ec7,has_repeat_unit,kg_repeatunit_ru_a116ecafc95861daa405,1.0,[],{},strict,true
edge_01c3da0ce4178722b98c,kg_datasetrecord_dr_c343108454ce2dd8a2da,has_repeat_unit,kg_repeatunit_ru_11095ddf156f88063bce,1.0,[],{},strict,true
edge_01c4553aaebb6cf50822,kg_datasetrecord_dr_0ab05fcf8130e163558e,has_repeat_unit,kg_repeatunit_ru_9c6d8850428610068993,1.0,[],{},strict,true
edge_01cad01697a96245b7d8,kg_datasetrecord_dr_cf8340439968f7cf53db,has_repeat_unit,kg_repeatunit_ru_3ad65a61db02dd62e272,1.0,[],{},strict,true
edge_01cbce0287e4bb5384a3,kg_datasetrecord_dr_90617aebfe651898db6e,has_repeat_unit,kg_repeatunit_ru_0877cc7749799168878f,1.0,[],{},strict,true
edge_01d09ccc4ff0da0c2563,kg_datasetrecord_dr_b6d0dd9e0e811fcadfa2,has_repeat_unit,kg_repeatunit_ru_b157d1e2dbaf507b3170,1.0,[],{},strict,true
edge_01d3626ba769c81de413,kg_repeatunit_ru_9b72df5a95a58a7a0c31,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01d65246ac2c9e247777,kg_datasetrecord_dr_fe0b9e3b0002e464bae9,has_repeat_unit,kg_repeatunit_ru_b6cafff89dcc7e1e846e,1.0,[],{},strict,true
edge_01e0d67378c3a4c9f174,kg_datasetrecord_dr_92b3254cdf2b7f312bcf,has_repeat_unit,kg_repeatunit_ru_b31fda181b65003a9320,1.0,[],{},strict,true
edge_01e20232d7c5d1ca3ba7,kg_datasetrecord_dr_cf3cadc0e960774fb6a3,has_repeat_unit,kg_repeatunit_ru_b6aee7a1f4c4972d80af,1.0,[],{},strict,true
edge_01e47bfc1e554dfa74bf,kg_datasetrecord_dr_948e060795129fa88ea8,has_repeat_unit,kg_repeatunit_ru_8251fcbe21a3d7adab7d,1.0,[],{},strict,true
edge_01e6a2243b355aacb9c3,kg_repeatunit_ru_f0383db50f5682df9647,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01e913d8ecbc43cef9be,kg_datasetrecord_dr_b6389674a01d56b545a2,has_repeat_unit,kg_repeatunit_ru_3431c7e7573dc29573b6,1.0,[],{},strict,true
edge_01e96fd8fe115657d135,kg_datasetrecord_dr_37e211870f96870276bd,has_repeat_unit,kg_repeatunit_ru_6292007de27cd7a06cc2,1.0,[],{},strict,true
edge_01eb079e5b569003b61d,kg_datasetrecord_dr_c0c9cb4c7ed88c4c9e87,has_repeat_unit,kg_repeatunit_ru_490b5a8d61bd4a6e9464,1.0,[],{},strict,true
edge_01ebd7939c33cd3a1449,kg_datasetrecord_dr_c32dddfc3534a4e1ab1f,has_repeat_unit,kg_repeatunit_ru_21fb796546ea65c11c4a,1.0,[],{},strict,true
edge_01eccd3c5d2daec33f71,kg_datasetrecord_dr_515c3c13e1344219d132,has_repeat_unit,kg_repeatunit_ru_ea99054f12e2e12a2605,1.0,[],{},strict,true
edge_01edf04ad57531994b78,kg_datasetrecord_dr_9de07de4c0361f461853,has_repeat_unit,kg_repeatunit_ru_819026842396548b132d,1.0,[],{},strict,true
edge_01eef3eaf135fcc34860,kg_repeatunit_ru_e6447987a067c1608525,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01f02307c3586596eadb,kg_repeatunit_ru_a6d8f9b4f9c88ccb8067,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_01f32da5ef09b3b8b596,kg_datasetrecord_dr_6d8b7819261da72171cb,has_repeat_unit,kg_repeatunit_ru_4846d32d9731230224b3,1.0,[],{},strict,true
edge_01f81425f658a9c78d4c,kg_datasetrecord_dr_8507f64dfed4c8f71b64,has_repeat_unit,kg_repeatunit_ru_4a7fa22a3f1e577ef745,1.0,[],{},strict,true
edge_01f86aae94149c2e3a40,kg_datasetrecord_dr_0a01f855b01d43dad7ca,has_repeat_unit,kg_repeatunit_ru_c170aa0837c8f45a1891,1.0,[],{},strict,true
edge_01fb5d90e3f79aecad5c,kg_datasetrecord_dr_4d47279627f91b408bdd,has_repeat_unit,kg_repeatunit_ru_d2db856ac3df2517dfd6,1.0,[],{},strict,true
edge_01fde331079e3838666e,kg_repeatunit_ru_0399eed9c0e0ebe03381,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_02002a4d37503e09d884,kg_datasetrecord_dr_45523fad66aee5d1d593,has_repeat_unit,kg_repeatunit_ru_202920be33a8f125c2f7,1.0,[],{},strict,true
edge_0201d30d4f6a650e4a4d,kg_repeatunit_ru_07139dcd94aa2d2e059c,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_0206dd380fb55ed2d428,kg_repeatunit_ru_fe7eaace6d3ea2d6e806,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
